timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_out,bytes_in,action
2024-11-12T15:07:42Z,10.0.0.111,10.0.1.5,50611,389,TCP,580,3800,ALLOW
2024-11-12T15:07:56Z,10.0.0.111,10.0.1.5,50612,389,TCP,630,4100,ALLOW
2024-11-12T15:08:10Z,10.0.0.111,10.0.1.5,50613,389,TCP,460,3000,ALLOW
2024-11-12T15:08:24Z,10.0.0.111,10.0.1.5,50614,389,TCP,800,5300,ALLOW
2024-11-12T15:08:38Z,10.0.0.111,10.0.1.5,50615,389,TCP,700,4600,ALLOW
2024-11-12T15:08:52Z,10.0.0.111,10.0.1.5,50616,389,TCP,560,3700,ALLOW
2024-11-12T15:09:06Z,10.0.0.111,10.0.1.5,50617,389,TCP,490,3200,ALLOW
2024-11-12T15:09:20Z,10.0.0.111,10.0.1.5,50618,389,TCP,750,5000,ALLOW
2024-11-12T15:09:35Z,10.0.0.111,10.0.1.5,50619,389,TCP,670,4400,ALLOW
2024-11-12T15:09:50Z,10.0.0.111,10.0.1.5,50620,389,TCP,520,3400,ALLOW
2024-11-12T15:15:30Z,10.0.0.111,185.220.101.45,50650,443,TCP,1980,3800,ALLOW
2024-11-12T16:00:03Z,10.0.0.111,10.0.1.5,50700,88,TCP,380,1200,ALLOW
2024-11-12T16:00:28Z,10.0.0.111,10.0.1.5,50701,88,TCP,320,980,ALLOW
2024-11-12T16:01:14Z,10.0.0.111,10.0.1.5,50702,88,TCP,420,1350,ALLOW
2024-11-12T16:02:02Z,10.0.0.111,10.0.1.5,50703,88,TCP,290,880,ALLOW
2024-11-12T16:03:10Z,10.0.0.111,10.0.1.5,50704,88,TCP,360,1100,ALLOW
2024-11-12T16:04:18Z,10.0.0.111,10.0.1.5,50705,88,TCP,400,1280,ALLOW
2024-11-12T16:05:48Z,10.0.0.111,10.0.1.5,50706,88,TCP,280,840,ALLOW
2024-11-12T16:07:40Z,10.0.0.111,10.0.1.5,50707,88,TCP,480,1500,ALLOW
2024-11-12T16:30:00Z,10.0.0.105,172.217.14.46,54900,443,TCP,1100,16000,ALLOW
2024-11-12T16:38:00Z,10.0.0.111,10.0.1.30,50800,445,TCP,98000,22000,ALLOW
2024-11-12T16:42:00Z,10.0.1.30,185.220.101.45,52800,443,TCP,1800,3200,ALLOW
2024-11-12T16:50:05Z,10.0.0.111,10.0.1.20,50850,445,TCP,95000,20000,ALLOW
2024-11-12T17:00:08Z,10.0.1.20,185.220.101.45,53200,443,TCP,1900,3500,ALLOW
2024-11-12T17:15:22Z,10.0.0.105,8.8.8.8,55000,53,UDP,62,128,ALLOW
2024-11-12T17:30:05Z,10.0.0.111,185.220.101.45,50900,443,TCP,2000,4000,ALLOW
2024-11-12T18:00:14Z,10.0.0.105,172.217.14.46,55100,443,TCP,780,11000,ALLOW
2024-11-12T19:00:30Z,10.0.0.88,13.32.46.12,52500,443,TCP,900,12800,ALLOW
2024-11-12T21:30:10Z,10.0.0.111,185.220.101.45,51000,443,TCP,1950,3800,ALLOW
2024-11-13T07:05:14Z,10.0.0.105,172.217.14.46,55200,443,TCP,1050,15000,ALLOW
2024-11-13T07:18:30Z,10.0.0.111,52.96.115.4,51100,443,TCP,840,12000,ALLOW
2024-11-13T07:30:22Z,10.0.0.88,8.8.8.8,52600,53,UDP,62,128,ALLOW
2024-11-13T07:45:05Z,10.0.0.144,104.26.13.45,55500,443,TCP,1200,17000,ALLOW
2024-11-13T08:00:18Z,10.0.0.105,13.32.46.12,55300,443,TCP,960,13500,ALLOW
2024-11-13T08:32:05Z,10.0.1.30,10.0.1.5,53500,5985,TCP,12000,8500,ALLOW
2024-11-13T09:00:05Z,10.0.1.20,10.0.1.5,53600,445,TCP,48000,15000,ALLOW
2024-11-13T09:30:10Z,10.0.0.88,172.217.3.110,52700,443,TCP,750,10200,ALLOW
2024-11-13T10:00:22Z,10.0.0.105,52.114.128.9,55400,443,TCP,1100,14800,ALLOW
2024-11-13T11:00:05Z,10.0.0.88,8.8.8.8,52800,53,UDP,62,128,ALLOW
2024-11-13T11:30:30Z,10.0.0.105,172.217.14.46,55500,443,TCP,920,13200,ALLOW
2024-11-13T12:00:14Z,10.0.0.111,52.114.128.9,51200,443,TCP,1300,18500,ALLOW
2024-11-13T12:30:05Z,10.0.0.144,172.217.3.110,55700,443,TCP,870,12000,ALLOW
2024-11-13T13:05:22Z,10.0.1.5,91.92.136.11,54001,443,TCP,4200000,28000,ALLOW
2024-11-13T13:17:44Z,10.0.1.5,91.92.136.11,54002,443,TCP,3800000,22000,ALLOW
2024-11-13T13:30:08Z,10.0.1.5,91.92.136.11,54003,443,TCP,4500000,30000,ALLOW
2024-11-13T13:45:30Z,10.0.1.5,91.92.136.11,54004,443,TCP,5100000,34000,ALLOW
2024-11-13T14:00:55Z,10.0.1.5,91.92.136.11,54005,443,TCP,3900000,26000,ALLOW
2024-11-13T14:15:18Z,10.0.1.5,91.92.136.11,54006,443,TCP,4700000,31000,ALLOW
2024-11-13T14:30:40Z,10.0.1.5,91.92.136.11,54007,443,TCP,4100000,27000,ALLOW
2024-11-13T14:45:02Z,10.0.1.5,91.92.136.11,54008,443,TCP,5200000,35000,ALLOW
2024-11-13T15:00:25Z,10.0.1.5,91.92.136.11,54009,443,TCP,3700000,24000,ALLOW
2024-11-13T15:10:48Z,10.0.1.5,91.92.136.11,54010,443,TCP,4400000,29000,ALLOW
2024-11-13T15:20:11Z,10.0.1.5,91.92.136.11,54011,443,TCP,4800000,32000,ALLOW
2024-11-13T15:30:33Z,10.0.1.5,91.92.136.11,54012,443,TCP,3600000,23000,ALLOW
2024-11-13T15:43:55Z,10.0.1.5,91.92.136.11,54013,443,TCP,4900000,33000,ALLOW
2024-11-13T15:55:18Z,10.0.1.5,91.92.136.11,54014,443,TCP,4300000,28500,ALLOW
2024-11-13T16:00:10Z,10.0.0.105,172.217.14.46,55800,443,TCP,810,11400,ALLOW
2024-11-13T16:30:22Z,10.0.0.88,13.32.46.12,52900,443,TCP,690,9600,ALLOW
